,Unnamed: 0,name,description,winery,ages,tipes_grapes,Colors
1286,1286,Niepoort Projecto Pinot Noir 2015,Red wine Barrel. 14 months in French oak barrels used. Winery: Niepoort. DOC Douro. (Douro) Variety: Pinot Noir,Niepoort,Niepoort,Pinot Noir,Red wine
1287,1287,Niepoort Dão Rotulo Branco 2017,"White wine. Winery: Niepoort. DOC Dao. (Beiras) Variety: Borrado das Moscas, Cercial and Rabo de Ovelha.",Niepoort,Niepoort,Borrado das Moscas,White wine
1288,1288,Niepoort Redoma Rosé 2016,Rosé wine. Winery: Niepoort. DOC Douro. (Douro) Variety: Other red varieties,Niepoort,Niepoort,Other red varieties,Rosé wine
1289,1289,Ossian Verdling Trocken 2016,White wine Young. Winery: Ossian. VT Castilla-León. (Castilla y León) Variety: Verdejo,Ossian,Ossian,Ti,White wine
1290,1290,Pensées De Lafleur 2012,Red wine Barrel Respectful agriculture. Winery: Château Lafleur. AOC Pomerol. (Bordeaux) Variety: Merlot and Cabernet Franc.,Château Lafleur,Château Lafleur,Cabernet Franc,Red wine
1291,1291,Princic Pinot Grigio 2015,Orange wine Skin Contact Organic Natural. Winery: Dario Princic. Vino da Tavola. (Friuli-Venezia Giulia) Variety: Pinot Gris,Dario Princic,Dario Princic,Pinot Gris,Orange wine
1292,1292,Princic Ribolla Gialla 2016,Orange wine Skin Contact Organic Natural. Winery: Dario Princic. Vino da Tavola. (Friuli-Venezia Giulia) Variety: Ribolla Gialla,Dario Princic,Dario Princic,Ribolla Gialla,Orange wine
1293,1293,Princic Trebez 2014,"Orange wine Skin Contact Natural Organic. Winery: Dario Princic. Vino da Tavola. (Friuli-Venezia Giulia) Variety: Chardonnay, Pinot Gris and Sauvignon Blanc.",Dario Princic,Dario Princic,Chardonnay,Orange wine
1294,1294,Niepoort Ruby Dum,"Fortified wine Oporto. 36 months in foudres. Winery: Niepoort. Porto. (Douro) Variety: Souson, Touriga Nacional, Tinta rotiz, Other red varieties, Tinta Amarela and Touringa franca.",Niepoort,Niepoort,Other red varieties,Fortified wine
1295,1295,Niepoort Tawny Dee,"Fortified wine Oporto. Winery: Niepoort. Porto. (Douro) Variety: Souson, Touriga Nacional, Tinta rotiz, Other red varieties, Tinta Amarela and Touringa franca.",Niepoort,Niepoort,Other red varieties,Fortified wine
1296,1296,Niepoort 10 Years Old Tawny,"Fortified wine Oporto. Winery: Niepoort. Porto. (Douro) Variety: Souson, Touriga Nacional, Tinta rotiz, Other red varieties, Tinta Amarela and Touringa franca.",Niepoort,Niepoort,Other red varieties,Fortified wine
1297,1297,Niepoort 20 Years Old Tawny,"Fortified wine Oporto. Winery: Niepoort. Porto. (Douro) Variety: Souson, Tinta Amarela, Touringa franca, Touriga Nacional and Tinta rotiz.",Niepoort,Niepoort,Souson,Fortified wine
1298,1298,Niepoort Colheita 2007,"Fortified wine Oporto. Winery: Niepoort. Porto. (Douro) Variety: Souson, Tinta Amarela, Touringa franca, Touriga Nacional and Tinta rotiz.",Niepoort,Niepoort,Souson,Fortified wine
1299,1299,Niepoort Vintage 2015,"Fortified wine Oporto. Winery: Niepoort. Porto. (Douro) Variety: Souson, Touriga Nacional, Tinta rotiz, Other red varieties, Tinta Amarela and Touringa franca.",Niepoort,Niepoort,Other red varieties,Fortified wine
1300,1300,René Bouvier Aligoté Vieilles Vignes 2017,White wine Barrel Organic. Winery: Domaine René Bouvier. AOC Bourgogne Aligote. (Burgundy) Variety: Aligoté,Domaine René Bouvier,Domaine René Bouvier,Aligoté,White wine
1301,1301,René Bouvier Côtes de Nuits Villages 2016,Red wine Barrel Organic. 12 months in French oak barrels. Winery: Domaine René Bouvier. AOC Côte de Nuits-Village. (Burgundy) Variety: Pinot Noir,Domaine René Bouvier,Domaine René Bouvier,Côt,Red wine
1302,1302,René Bouvier Marsannay Clos du Roy Vieilles Vignes 2016,Red wine Barrel Organic. 18 months in French oak barrels. Winery: Domaine René Bouvier. AOC Marsannay. (Burgundy) Variety: Pinot Noir,Domaine René Bouvier,Domaine René Bouvier,Pinot Noir,Red wine
1303,1303,Torres Gran Viña Sol 2018,White wine Barrel. 5 months in French oak barrels. Winery: Torres. D.O. Penedès. (Catalonia) Variety: Chardonnay and Parellada.,Torres,Torres,Chardonnay,White wine
1304,1304,Louis Latour Chablis 2018,White wine Aged on its lees. Winery: Louis Latour. AOC Chablis. (Burgundy) Variety: Chardonnay,Louis Latour,Louis Latour,Chardonnay,White wine
1305,1305,Terra Remota Caminito 2018,Rosé wine Young Organic. 6 months in oak barrels. Winery: Terra Remota. D.O. Empordà. (Catalonia) Variety: Syrah and Garnacha Tinta.,Terra Remota,Terra Remota,Garnacha Tinta,Rosé wine
1306,1306,Envínate Albahra Magnum 2018,Red wine Aged in cement eggs Respectful agriculture. Winery: Envínate. D.O. La Mancha. (Castilla La Mancha) Variety: Garnacha Tintorera,Envínate,Envínate,Garnacha Tintorera,Red wine
1307,1307,Siós Cau del Gat 2016,Red wine Barrel. 9 months in French oak barrels. Winery: Costers del Sió. D.O. Costers del Segre. (Catalonia) Variety: Syrah and Garnacha Tinta.,Costers del Sió,Costers del Sió,Garnacha Tinta,Red wine
1308,1308,Juegabolos 2016,Red wine Reserva Respectful agriculture. 36 months in French oak barrels. Winery: Valderiz. D.O. Ribera del Duero. (Castilla y León) Variety: Tinta del Pais,Valderiz,Valderiz,Ti,Red wine
1309,1309,Atrium Chardonnay 2018,White wine Barrel fermented. 5 months in oak barrels. Winery: Torres. D.O. Penedès. (Catalonia) Variety: Chardonnay,Torres,Torres,Chardonnay,White wine
1310,1310,La Multa Garnacha 2017,Red wine Young. Winery: El Escocés Volante. D.O. Calatayud. (Aragón) Variety: Garnacha Tinta,El Escocés Volante,El Escocés Volante,Garnacha Tinta,Red wine
1311,1311,Joseph Drouhin Laforêt Bourgogne Chardonnay 2018,White wine Barrel Biodinámico. Winery: Joseph Drouhin. AOC Bourgogne. (Burgundy) Variety: Chardonnay,Joseph Drouhin,Joseph Drouhin,Chardonnay,White wine
1312,1312,Pegaso Granito 2014,Red wine Barrel. 24 months in French oak barrels. Winery: Telmo Rodríguez. VT Castilla-León. (Castilla y León) Variety: Garnacha Tinta,Telmo Rodríguez,Telmo Rodríguez,Garnacha Tinta,Red wine
1313,1313,Domaine Rostaing Les Lézardes Blanc 2017,White wine Barrel Biodinámico. Winery: Domaine Rostaing. IGP Collines Rhodaniennes. (Rhone) Variety: Viognier,Domaine Rostaing,Domaine Rostaing,Viognier,White wine
1314,1314,Domaine Rostaing Les Lézardes Rouge 2017,Red wine Barrel Respectful agriculture. Winery: Domaine Rostaing. IGP Collines Rhodaniennes. (Rhone) Variety: Syrah,Domaine Rostaing,Domaine Rostaing,Syrah,Red wine
1315,1315,Acústic Blanc Magnum 2017,"White wine Young Respectful agriculture. 4 months in French oak barrels. Winery: Acústic Celler. D.O. Montsant. (Catalonia) Variety: Premsal Blanco, Macabeo, Garnacha Tinta and Garnacha Blanca.",Acústic Celler,Acústic Celler,Garnacha Blanca,White wine
1316,1316,Domaine de Pallus Messanges Rouge 2018,Red wine Young Organic. Winery: Domaine de Pallus. AOC Chinon. (Loire) Variety: Cabernet Franc,Domaine de Pallus,Domaine de Pallus,Cabernet Franc,Red wine
1317,1317,Kreydenweiss Ansata Rouge 2014,Red wine Barrel Biodinámico. 12 months in French oak barrels. Winery: Marc Kreydenweiss. VDP du Gard. (Rhone) Variety: Syrah,Marc Kreydenweiss,Marc Kreydenweiss,Syrah,Red wine
1318,1318,Kreydenweiss Ka Rouge 2013,Red wine Barrel Biodinámico. 12 months in oak barrels. Winery: Marc Kreydenweiss. AOC Costières de Nîmes. (Rhone) Variety: Cariñena,Marc Kreydenweiss,Marc Kreydenweiss,Cariñena,Red wine
1319,1319,Kreydenweiss Or Ange 2016,"White wine Barrel Biodinámico. Winery: Marc Kreydenweiss. Vin de France. (Rhone) Variety: Viognier, Garnacha Blanca, Pinot Gris, Muscat, Riesling and Vermentino.",LAN,LAN,Ance,White wine
1320,1320,Domaine Rostaing Condrieu La Bonnette 2017,White wine Barrel Respectful agriculture. Winery: Domaine Rostaing. AOC Condrieu. (Rhone) Variety: Viognier,Domaine Rostaing,Domaine Rostaing,Viognier,White wine
1321,1321,Domaine Rostaing Côte-Rôtie Viallière 2016,Red wine Barrel Respectful agriculture. Winery: Domaine Rostaing. AOC Côte Rôtie. (Rhone) Variety: Syrah,Domaine Rostaing,Domaine Rostaing,Côt,Red wine
1322,1322,Viña Mayor Tinto Roble 2018,Red wine Oak. 3 months in French oak barrels. Winery: Viña Mayor. D.O. Ribera del Duero. (Castilla y León) Variety: Tempranillo,Viña Mayor,Viña Mayor,Tempranillo,Red wine
1323,1323,Noval Fine Ruby port,"Fortified wine Oporto. Winery: Quinta do Noval. Porto. (Douro) Variety: Other red varieties, Touringa franca, Tinta rotiz and Tinta barroca.",Quinta do Noval,Quinta do Noval,Other red varieties,Fortified wine
1324,1324,Noval Tawny Port,"Fortified wine Oporto. Winery: Quinta do Noval. Porto. (Douro) Variety: Tinta rotiz, Tinta barroca and Touringa franca.",Quinta do Noval,Quinta do Noval,Ti,Fortified wine
1325,1325,Amaren Tempranillo Reserva 2010,"Red wine Reserva. 18 months in French, Allier oak barrels. Winery: Amaren. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo",Amaren,Amaren,Tempranillo,Red wine
1326,1326,PF Ponce Pie Franco 2018,Red wine Barrel Respectful agriculture. 10 months in French oak barrels. Winery: Ponce. D.O. Manchuela. (Castilla La Mancha) Variety: Bobal,Ponce,Ponce,Bobal,Red wine
1327,1327,La Casilla 2018,Red wine Barrel Respectful agriculture. 10 months in French oak barrels. Winery: Ponce. D.O. Manchuela. (Castilla La Mancha) Variety: Bobal,Ponce,Ponce,Bobal,Red wine
1328,1328,La Estrecha 2018,Red wine Barrel Respectful agriculture. 11 months in French oak barrels. Winery: Ponce. D.O. Manchuela. (Castilla La Mancha) Variety: Bobal,Ponce,Ponce,Bobal,Red wine
1329,1329,Flor d'Albera 2017,White wine Crianza. 12 months in French oak barrels. Winery: Martí Fabra. D.O. Empordà. (Catalonia) Variety: Moscatel de Grano Menudo,Martí Fabra,Martí Fabra,Moscatel,White wine
1330,1330,La Vicalanda Gran Reserva 2012,"Red wine Gran Reserva Respectful agriculture. 24 months in French, Allier oak barrels. Winery: Bodegas Bilbaínas. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo",Bodegas Bilbaínas,Bodegas Bilbaínas,Tempranillo,Red wine
1331,1331,Majas Ravin des Sieurs Syrah 2017,Red wine Organic. Winery: Domaine Majas. VDP des Côtes Catalanes. (Languedoc-Roussillon) Variety: Syrah,Domaine Majas,Domaine Majas,Côt,Red wine
1332,1332,Fino Dos Palmas 2018,Fortified wine Fino. Winery: Bodegas Tío Pepe. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Bodegas Tío Pepe,Bodegas Tío Pepe,Palomino,Fortified wine
1333,1333,Baigorri Garnacha 2015,Red wine Barrel. 14 months in French oak barrels. Winery: Baigorri. D.O.Ca. Rioja. (La Rioja) Variety: Garnacha Tinta,Baigorri,Baigorri,Garnacha Tinta,Red wine
1334,1334,Tentenublo Tinto 2017,Red wine Barrel Respectful agriculture. 11 months in French oak barrels. Winery: Tentenublo. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo,Tentenublo,Tentenublo,Tempranillo,Red wine
1335,1335,Emilio Moro 2017,Red wine Barrel Respectful agriculture. 12 months in French and American oak barrels. Winery: Emilio Moro. D.O. Ribera del Duero. (Castilla y León) Variety: Tinto Fino,Emilio Moro,Emilio Moro,Ti,Red wine
1336,1336,Enrique Mendoza Pinot Noir 2017,"Red wine Barrel Respectful agriculture. 11 months in French, Allier oak barrels. Winery: Enrique Mendoza. D.O. Alicante. (Valencia) Variety: Pinot Noir",Enrique Mendoza,Enrique Mendoza,Alicante,Red wine
1337,1337,Fino Una Palma 2018,Fortified wine Fino. Winery: Bodegas Tío Pepe. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Bodegas Tío Pepe,Bodegas Tío Pepe,Palomino,Fortified wine
1338,1338,Christmann Gutswein Riesling 2017,White wine Organic. Winery: A. Christmann. VDP Pfalz. (Palatinate) Variety: Riesling,A. Christmann,A. Christmann,Riesling,White wine
1339,1339,Gut Oggau Weiss 2016,"White wine Barrel Natural Biodinámico. Winery: Gut Oggau. Weinland Österreich. (Burgenland) Variety: Gewürztraminer, Welschriesling, Grüner Veltliner and Weissburgunder.",Gut Oggau,Gut Oggau,Gewürztraminer,White wine
1340,1340,Cepa 21 Magnum 2015,Red wine Barrel. 12 months in French oak barrels. Winery: Cepa 21. D.O. Ribera del Duero. (Castilla y León) Variety: Tinto Fino,Cepa 21,Cepa 21,Ti,Red wine
1341,1341,Perelada Finca La Garriga 2015,Red wine Crianza. Winery: Castillo de Perelada. D.O. Empordà. (Catalonia) Variety: Samsó,Castillo de Perelada,Castillo de Perelada,Samsó,Red wine
1342,1342,Gut Oggau Rot 2016,Red wine Barrel Natural Biodinámico. Winery: Gut Oggau. Weinland Österreich. (Burgenland) Variety: Zweigelt and Blaufränkisch.,Gut Oggau,Gut Oggau,Blaufränkisch,Red wine
1343,1343,Gut Oggau Rosé 2016,Rosé wine Barrel Natural Biodinámico. 12 months in foudres. Winery: Gut Oggau. Weinland Österreich. (Burgenland) Variety: Zweigelt and Roesler.,Gut Oggau,Gut Oggau,Roesler,Rosé wine
1344,1344,E. Guigal Châteauneuf-du-Pape Rouge 2015,"Red wine Barrel. 24 months in French oak barrels. Winery: Domaine E. Guigal. AOC Châteauneuf-du-pape. (Rhone) Variety: Monastrell, Garnacha Tinta and Syrah.",Domaine E. Guigal,Domaine E. Guigal,Garnacha Tinta,Red wine
1345,1345,Noval Extra Dry White,"Fortified wine Oporto. 3 years in oak barrels. Winery: Quinta do Noval. Porto. (Douro) Variety: Malvasía, Rabigato, Gouvrio and Códena.",Quinta do Noval,Quinta do Noval,Códena,Fortified wine
1346,1346,Noval Fine White Port,"Fortified wine Oporto. Winery: Quinta do Noval. Porto. (Douro) Variety: Malvasía, Viosinho, Códena, Gouvrio and Rabigato.",Quinta do Noval,Quinta do Noval,Códena,Fortified wine
1347,1347,Laventura Tempranillo 2016,"Red wine Barrel Respectful agriculture. Winery: Laventura Wines. D.O.Ca. Rioja. (La Rioja) Variety: Garnacha Tinta, Tempranillo and Mazuela.",Laventura Wines,Laventura Wines,Garnacha Tinta,Red wine
1348,1348,Lichtenberger González Muschelkalk Weiss 2016,"White wine Aged on its lees Organic. Winery: Lichtenberger
González. Leithaberg. (Burgenland) Variety: Pinot Blanc, Welschriesling and Grüner Veltliner.",LAN,LAN,Grüner Veltliner,White wine
1349,1349,Lichtenberger González Muschelkalk Rot 2015,"Red wine Barrel Organic. Winery: Lichtenberger
González. Leithaberg. (Burgenland) Variety: Zweigelt and Blaufränkisch.",LAN,LAN,Blaufränkisch,Red wine
1350,1350,Viña Eguía Crianza 2016,Red wine Crianza. 12 months in American oak barrels. Winery: Eguía. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo,Eguía,Eguía,Tempranillo,Red wine
1351,1351,Hito Magnum 2018,Red wine Barrel Respectful agriculture. Winery: Cepa 21. D.O. Ribera del Duero. (Castilla y León) Variety: Tinto Fino,Cepa 21,Cepa 21,Ti,Red wine
1352,1352,Hito 2018,Red wine Barrel Respectful agriculture. Winery: Cepa 21. D.O. Ribera del Duero. (Castilla y León) Variety: Tinto Fino,Cepa 21,Cepa 21,Ti,Red wine
1353,1353,Peraj Ha'abib 2017,"Red wine Barrel Kosher. 12 months in French oak barrels. Winery: Celler de Capçanes. D.O. Montsant. (Catalonia) Variety: Cabernet Sauvignon, Samsó and Garnacha Tinta.",Celler de Capçanes,Celler de Capçanes,Cabernet Sauvignon,Red wine
1354,1354,Valdesil 2018,White wine Aged on its lees. 5 months on lees in stainless steel vats. Winery: Valdesil. D.O. Valdeorras. (Galicia) Variety: Godello,Valdesil,Valdesil,Godello,White wine
1355,1355,Tissot Arbois Patchwork Chardonnay 2017,White wine Barrel Biodinámico Organic Natural. 12 months in foudres. Winery: Domaine André et Mireille Tissot. AOC Arbois. (Jura) Variety: Chardonnay,Domaine André et Mireille Tissot,Domaine André et Mireille Tissot,Chardonnay,White wine
1356,1356,Veyder-Malberg Grüner Veltliner Liebedich 2018,White wine Aged on its lees Organic. Winery: Weingut Veyder-Malberg. Wachau. (Lower Austria) Variety: Grüner Silvaner,Weingut Veyder-Malberg,Weingut Veyder-Malberg,Grüner Silvaner,White wine
1357,1357,Veyder-Malberg Grüner Veltliner Wösendorfer Hochrain 2018,White wine Aged on its lees Organic. Winery: Weingut Veyder-Malberg. Wachau. (Lower Austria) Variety: Grüner Veltliner,Weingut Veyder-Malberg,Weingut Veyder-Malberg,Grüner Veltliner,White wine
1358,1358,Glorioso Crianza Magnum 2016,Red wine Crianza. 12 months in French oak barrels. Winery: Palacio. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo,Palacio,Palacio,Tempranillo,Red wine
1359,1359,Noval 10 Years Old Tawny Port,Fortified wine Oporto. Winery: Quinta do Noval. Porto. (Douro) Variety: Tinta rotiz and Tinta barroca.,Quinta do Noval,Quinta do Noval,Ti,Fortified wine
1360,1360,Noval 20 Years Old Tawny Port,Fortified wine Oporto. Winery: Quinta do Noval. Porto. (Douro) Variety: Tinta rotiz and Tinta barroca.,Quinta do Noval,Quinta do Noval,Ti,Fortified wine
1361,1361,Noval Colheita 2003,Fortified wine Oporto. Winery: Quinta do Noval. Porto. (Douro) Variety: Touringa franca and Tinta barroca.,Quinta do Noval,Quinta do Noval,Ti,Fortified wine
1362,1362,Alzinger Riesling Dürnsteiner Federspiel 2016,White wine. Winery: Weingut Alzinger. Wachau. (Lower Austria) Variety: Riesling,Weingut Alzinger,Weingut Alzinger,Riesling,White wine
1363,1363,Valtuille Cepas Centenarias 2016,Red wine Barrel. 11 months in French oak barrels. Winery: Castro Ventosa. D.O. Bierzo. (Castilla y León) Variety: Mencía,Castro Ventosa,Castro Ventosa,Mencía,Red wine
1364,1364,Señor da Folla Verde 2018,"White wine Young. Winery: Marqués de Vizhoja. D.O. Rías Baixas. (Galicia) Variety: Albariño, Treixadura and Loureira Blanca.",LAN,LAN,Albariño,White wine
1365,1365,Señorio de Ondarre Reserva 2015,"Red wine Reserva. 16 months in French and American oak barrels. Winery: Ondarre. D.O.Ca. Rioja. (La Rioja) Variety: Garnacha Tinta, Tempranillo and Mazuela.",Ondarre,Ondarre,Garnacha Tinta,Red wine
1366,1366,Alzinger Grüner Veltliner Mühlpoint Smaragd 2017,White wine. Winery: Weingut Alzinger. Wachau. (Lower Austria) Variety: Grüner Veltliner,Weingut Alzinger,Weingut Alzinger,Grüner Veltliner,White wine
1367,1367,Alzinger Grüner Veltliner Loibenberg Smaragd 2016,White wine. Winery: Weingut Alzinger. Wachau. (Lower Austria) Variety: Grüner Veltliner,Weingut Alzinger,Weingut Alzinger,Grüner Veltliner,White wine
1368,1368,Bründlmayer Riesling Terrassen 2017,White wine. Winery: Weingut Bründlmayer. Kamptal. (Lower Austria) Variety: Riesling,Weingut Bründlmayer,Weingut Bründlmayer,Riesling,White wine
1369,1369,Bründlmayer Grüner Veltliner Bankett 2016,White wine Respectful agriculture. Winery: Weingut Bründlmayer. Kamptal. (Lower Austria) Variety: Grüner Veltliner,Weingut Bründlmayer,Weingut Bründlmayer,Grüner Veltliner,White wine
1370,1370,Caserío de Dueñas Fermentado en Barrica 2017,White wine Barrel. 8 months in French oak barrels. Winery: Caserío de Dueñas. D.O. Rueda. (Castilla y León) Variety: Verdejo,Caserío de Dueñas,Caserío de Dueñas,Ti,White wine
1371,1371,Franz Hirtzberger Grüner Veltliner Donaugarten Steinfeder 2015,White wine. Winery: Weingut Franz Hirtzberger. Wachau. (Lower Austria) Variety: Grüner Veltliner,Weingut Franz Hirtzberger,Weingut Franz Hirtzberger,Grüner Veltliner,White wine
1372,1372,Habla del Mar,White wine. Winery: Habla. Extremadura. (Estremadura) Variety: Other White varieties,Habla,Habla,Other White varieties,White wine
1373,1373,Franz Hirtzberger Rotes Tor Grüner Veltliner Federspiel 2015,White wine Aged on its lees. Winery: Weingut Franz Hirtzberger. Wachau. (Lower Austria) Variety: Grüner Veltliner,Weingut Franz Hirtzberger,Weingut Franz Hirtzberger,Grüner Veltliner,White wine
1374,1374,Veyder-Malberg Wachauer Terrassen 2018,White wine Aged on its lees Organic. Winery: Weingut Veyder-Malberg. Wachau. (Lower Austria) Variety: Grüner Veltliner,Weingut Veyder-Malberg,Weingut Veyder-Malberg,Grüner Veltliner,White wine
1375,1375,Solar de Líbano Crianza 2016,"Red wine Crianza. 18 months in French and American oak barrels. Winery: Castillo de Sajazarra. D.O.Ca. Rioja. (La Rioja) Variety: Garnacha Tinta, Graciano and Tempranillo.",Castillo de Sajazarra,Castillo de Sajazarra,Garnacha Tinta,Red wine
1376,1376,Gran Feudo Edición Limitada el Idilio Rosado 2018,"Rosé wine Barrel. 6 months on lees in stainless steel vats. Winery: Gran Feudo. D.O. Navarra. (Navarra) Variety: Garnacha Tinta, Merlot and Tempranillo.",Gran Feudo,Gran Feudo,Garnacha Tinta,Rosé wine
1377,1377,Bruma del Estrecho Parcela Navajuelos 2017,Red wine Barrel. 6 months in French oak barrels. Winery: Bruma del Estrecho de Marín. D.O. Jumilla. (Murcia) Variety: Monastrell,Bruma del Estrecho de Marín,Bruma del Estrecho de Marín,Monastrell,Red wine
1378,1378,Tianna Bocchoris Blanc 2018,"White wine Young. 4 months in French oak barrels. Winery: Celler Tianna Negre. VT Mallorca. Variety: Premsal Blanco, Giró Blanc and Sauvignon Blanc.",Celler Tianna Negre,Celler Tianna Negre,Giró Blanc,White wine
1379,1379,Vinos Subterráneos VS 01 2015,"Red wine Barrel Organic. 20 months in French oak barrels used. Winery: Vinos Subterráneos. La Rioja. (La Rioja) Variety: Tempranillo, Viura and Graciano.",Graci,Graci,Graciano,Red wine
1380,1380,Finca Teira Tinto 2018,"Red wine Young. Winery: Adega Manuel Formigo. D.O. Ribeiro. (Galicia) Variety: Garnacha Tinta, Caíño Tinto, Brancellao and Souson.",Adega Manuel Formigo,Adega Manuel Formigo,Ance,Red wine
1381,1381,De Beroz Nuestro Roble 2017,Red wine Barrel. 6 months in French oak barrels and 6 months in bottle. Winery: De Beroz. D.O. Somontano. (Aragón) Variety: Tempranillo and Merlot.,De Beroz,De Beroz,Merlot,Red wine
1382,1382,Tremendus Clarete Rosado 2018,Rosé wine Young. Winery: Honorio Rubio. D.O.Ca. Rioja. (La Rioja) Variety: Garnacha Tinta and Viura.,Honorio Rubio,Honorio Rubio,Garnacha Tinta,Rosé wine
1383,1383,Baigorri Reserva 2011,Red wine Reserva. 18 months in French oak barrels. Winery: Baigorri. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo,Baigorri,Baigorri,Tempranillo,Red wine
1384,1384,Dominio de Valdepusa Cabernet Sauvignon 2016,"Red wine Crianza. 15 months in French, Allier oak barrels. Winery: Marqués de Griñón. V.P. Dominio de Valdepusa. (Castilla La Mancha) Variety: Cabernet Sauvignon",Marqués de Griñón,Marqués de Griñón,Cabernet Sauvignon,Red wine
1385,1385,E. Guigal Côtes du Rhône Blanc 2017,"White wine. Winery: Domaine E. Guigal. AOC Côtes du Rhône. (Rhone) Variety: Viognier, Roussanne, Clairette, Melon de Bourgogne, Marsanne, Garnacha Blanca and Bourboulenc.",Domaine E. Guigal,Domaine E. Guigal,Bourboulenc,White wine
1386,1386,Fraga do Corvo 2018,White wine Aged on its lees. 7 months on lees in stainless steel vats. Winery: Grandes Pagos Gallegos. D.O. Monterrei. (Galicia) Variety: Godello,Grandes Pagos Gallegos,Grandes Pagos Gallegos,Godello,White wine
1387,1387,Muriel Crianza Fincas de la Villa 2016,Red wine Crianza. 12 months in American oak barrels. Winery: Muriel. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo,Muriel,Muriel,Tempranillo,Red wine
1388,1388,Electio 2016,White wine Barrel fermented Organic. 4 months in oak barrels. Winery: Parés Baltà. D.O. Penedès. (Catalonia) Variety: Xarel·lo,Parés Baltà,Parés Baltà,Xarel·lo,White wine
1389,1389,Hacienda López de Haro Reserva 2015,Red wine Reserva. 20 months in French and American oak barrels. Winery: López de Haro. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo and Graciano.,Graci,Graci,Graciano,Red wine
1390,1390,Aalto 2017,Red wine Barrel. 20 months in French and American oak barrels. Winery: Aalto. D.O. Ribera del Duero. (Castilla y León) Variety: Tinto Fino,Aalto,Aalto,Ti,Red wine
1391,1391,Aalto PS Magnum 2017,"Red wine Crianza. 24 months in French, Allier oak barrels. Winery: Aalto. D.O. Ribera del Duero. (Castilla y León) Variety: Tinto Fino",Aalto,Aalto,Ti,Red wine
1392,1392,Sicus Cartoixà Marí 2018,Rosé wine Young Respectful agriculture. 5 months in tank. Winery: Sicus. Penedès. (Catalonia) Variety: Xarel·lo Rojo,Sicus,Sicus,Xarel·lo,Rosé wine
1393,1393,Abadal 3.9 2016,Red wine Reserva. 12 months in French and American oak barrels. Winery: Abadal. D.O. Pla del Bages. (Catalonia) Variety: Cabernet Sauvignon and Syrah.,Abadal,Abadal,Cabernet Sauvignon,Red wine
1394,1394,Acusp Magnum 2017,Red wine Barrel Respectful agriculture. 12 months in French oak barrels. Winery: Castell d'Encús. D.O. Costers del Segre. (Catalonia) Variety: Pinot Noir,Castell d'Encús,Castell d'Encús,Pinot Noir,Red wine
1395,1395,Encomienda de la Vega 2018,Red wine Barrel Respectful agriculture. 5 months in French and American oak barrels. Winery: Divina Proporción. D.O. Toro. (Castilla y León) Variety: Tinta de Toro,Divina Proporción,Divina Proporción,Ti,Red wine
1396,1396,Viñas del Vero Cabernet Colección 2016,"Red wine Barrel. 10 months in French, Allier oak barrels. Winery: Viñas del Vero. D.O. Somontano. (Aragón) Variety: Cabernet Sauvignon",Viñas del Vero,Viñas del Vero,Cabernet Sauvignon,Red wine
1397,1397,O Luar do Sil Godello sobre lías 2017,White wine Aged on its lees. Winery: Pago de los Capellanes. D.O. Valdeorras. (Galicia) Variety: Godello,LAN,LAN,Godello,White wine
1398,1398,Frank Cornelissen Munjebel 2015,Red wine Young Organic Natural. Winery: Frank Cornelissen. Terre Siciliane. (Sicily) Variety: Nerello Mascalese,Frank Cornelissen,Frank Cornelissen,Nerello Mascalese,Red wine
1399,1399,Frank Cornelissen Munjebel Chiusa Spagnolo 2014,Red wine Young Organic Natural. Winery: Frank Cornelissen. Terre Siciliane. (Sicily) Variety: Nerello Mascalese,Frank Cornelissen,Frank Cornelissen,Nerello Mascalese,Red wine
1400,1400,Frank Cornelissen Munjebel Feudo di Mezzo-Porcaria 2014,Red wine Young Organic Natural. Winery: Frank Cornelissen. Terre Siciliane. (Sicily) Variety: Nerello Mascalese,Frank Cornelissen,Frank Cornelissen,Nerello Mascalese,Red wine
1401,1401,Frank Cornelissen Munjebel Bianco 2017,White wine Aged on its lees Natural Organic. Winery: Frank Cornelissen. Terre Siciliane. (Sicily) Variety: Grecanico Dorato and Carricante.,Frank Cornelissen,Frank Cornelissen,Carricante,White wine
1402,1402,Tros Blanc 2015,White wine Barrel. 10 months in French oak barrels. Winery: Alfredo Arribas - Portal del Priorat. D.O. Montsant. (Catalonia) Variety: Garnacha Blanca,Alfredo Arribas - Portal del Priorat,Alfredo Arribas - Portal del Priorat,Garnacha Blanca,White wine
1403,1403,Pardas Aspriu 2013,Red wine Barrel Organic. 13 months in French oak barrels. Winery: Pardas. D.O. Penedès. (Catalonia) Variety: Cabernet Franc,Pardas,Pardas,Cabernet Franc,Red wine
