,name,description
818,Cosme Palacio Blanco Crianza 2016,White wine Crianza. 8 months in oak barrels. Winery: Palacio. D.O.Ca. Rioja. (La Rioja) Variety: Viura
819,Cosme Palacio Tinto 1894 2014,Red wine Crianza. 15 months in French oak barrels 500 L. Winery: Palacio. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo
820,Cosme Palacio Blanco 1894 2015,White wine. 7 months in French oak barrels. Winery: Palacio. D.O.Ca. Rioja. (La Rioja) Variety: Malvasía and Viura.
821,Llàgrimes de Tardor 2016,"Red wine Crianza. 12 months in French and American oak barrels. Winery: Cooperativa Sant Josep de Bot. D.O. Terra Alta. (Catalonia) Variety: Syrah, Cariñena and Garnacha Tinta."
822,Donyet 2016,"Red wine Crianza. 10 months in French oak barrels. Winery: Venus La Universal. D.O. Montsant. (Catalonia) Variety: Cabernet Sauvignon, Merlot, Garnacha Tinta and Cariñena."
823,Tros Negre 2016,Red wine Crianza. 12 months in French oak barrels. Winery: Alfredo Arribas - Portal del Priorat. D.O. Montsant. (Catalonia) Variety: Garnacha Tinta
824,Chivite Colección 125 Rosado 2017,Rosé wine Barrel. 10 months in French oak barrels. Winery: Chivite. D.O. Navarra. (Navarra) Variety: Garnacha Tinta and Tempranillo.
825,La Senda 1984 Mencía 2017,Red wine Barrel Respectful agriculture. 7 months in French oak barrels. Winery: Bodegas y Viñedos La Senda. D.O. Bierzo. (Castilla y León) Variety: Mencía
826,Enate Varietales 2015,"Red wine Barrel Respectful agriculture. 18 months in French oak barrels. Winery: Enate. D.O. Somontano. (Aragón) Variety: Cabernet Sauvignon, Merlot and Syrah."
827,Santiago Ruiz Albariño 2018,"White wine Young. Winery: Santiago Ruiz. D.O. Rías Baixas. (Galicia) Variety: Albariño, Treixadura, Godello, Loureira Blanca and Caíño Blanco."
828,Cune Imperial Gran Reserva 2012,"Red wine Gran Reserva. 22 months in French and American oak barrels and 38 months in bottle. Winery: CVNE. D.O.Ca. Rioja. (La Rioja) Variety: Mazuela, Graciano and Tempranillo."
829,Finca Torrea 2016,"Red wine Barrel. 18 months in French, Allier oak barrels. Winery: Marqués de Riscal. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo and Graciano."
830,Marqués de Riscal Reserva 2015,"Red wine Reserva. 24 months in American oak barrels. Winery: Marqués de Riscal. D.O.Ca. Rioja. (La Rioja) Variety: Mazuela, Graciano and Tempranillo."
831,Remírez de Ganuza Reserva Magnum 2011,Red wine Reserva. 24 months in French and American oak barrels. Winery: Remírez de Ganuza. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo and Graciano.
832,Les Cousins L'Inconscient 2018,"Red wine Barrel. 12 months in foudres. Winery: Les Cousins Marc & Adrià. D.O.Q. Priorat. (Catalonia) Variety: Cabernet Sauvignon, Garnacha Tinta, Cariñena, Syrah and Merlot."
833,Brezo Blanco 2018,White wine Young. Winery: Mengoba. D.O. Bierzo. (Castilla y León) Variety: Godello
834,Derain Allez Goûtons Rouge 2018,Red wine Natural. Winery: Dominique Derain. Vin de France. (Burgundy) Variety: Pinot Noir
835,Mas Picosa Organic 2018,"Red wine Oak Organic. 4 months in tank. Winery: Celler de Capçanes. D.O. Montsant. (Catalonia) Variety: Garnacha Tinta, Merlot, Tempranillo and Cariñena."
836,Gratallops 2018,"Red wine Crianza Respectful agriculture. 18 months in French oak barrels. Winery: Álvaro Palacios. D.O.Q. Priorat. (Catalonia) Variety: Cabernet Sauvignon, Garnacha Tinta, Syrah and Samsó."
837,Gratallops Magnum 2018,"Red wine Crianza Respectful agriculture. 18 months in French oak barrels. Winery: Álvaro Palacios. D.O.Q. Priorat. (Catalonia) Variety: Cabernet Sauvignon, Garnacha Tinta, Syrah and Samsó."
838,Marqués de Murrieta Reserva 2015,"Red wine Reserva. 22 months in American oak barrels and 12 months in bottle. Winery: Marqués de Murrieta. D.O.Ca. Rioja. (La Rioja) Variety: Mazuela, Graciano and Tempranillo."
839,Les Vignes de Bila-Haut L'esquerda 2017,"Red wine. Winery: Domaine de Bila-Haut. AOC Côtes-du-Roussillon. (Languedoc-Roussillon) Variety: Syrah, Cariñena and Garnacha Tinta."
840,I TANT Garnacha Tinta 2018,Red wine Young. Winery: I TANT Vins. D.O. Montsant. (Catalonia) Variety: Garnacha Tinta
841,Marieta 2018,White wine Young. Winery: Martín Códax. D.O. Rías Baixas. (Galicia) Variety: Albariño
842,Finca Dofí Magnum 2018,Red wine Crianza Respectful agriculture. 19 months in French oak barrels. Winery: Álvaro Palacios. D.O.Q. Priorat. (Catalonia) Variety: Garnacha Tinta
843,Les Aubaguetes 2018,Red wine Barrel Respectful agriculture. 20 months in French oak barrels. Winery: Álvaro Palacios. D.O.Q. Priorat. (Catalonia) Variety: Garnacha Tinta and Cariñena.
844,PSI 2018,Red wine Barrel. 18 months in French oak barrels. Winery: Dominio de Pingus. D.O. Ribera del Duero. (Castilla y León) Variety: Tinto Fino
845,El Buscador 2016,Red wine Crianza. Winery: Finca de la Rica. D.O.Ca. Rioja. (La Rioja) Variety: Garnacha Tinta and Tempranillo.
846,Clos Figueras 2016,"Red wine Reserva. 13 months in French oak barrels. Winery: Clos Figueras. D.O.Q. Priorat. (Catalonia) Variety: Cabernet Sauvignon, Syrah, Cariñena, Monastrell and Garnacha Tinta."
847,Les Cousins L'Inconscient Magnum 2018,"Red wine Barrel. 12 months in foudres. Winery: Les Cousins Marc & Adrià. D.O.Q. Priorat. (Catalonia) Variety: Cabernet Sauvignon, Garnacha Tinta, Cariñena, Syrah and Merlot."
848,Rotllan Torra Criança 2014,"Red wine Crianza. 12 months in American oak barrels. Winery: Rotllan Torra. D.O.Q. Priorat. (Catalonia) Variety: Cabernet Sauvignon, Samsó and Garnacha Tinta."
849,PSI Magnum 2018,Red wine Crianza. 18 months in French oak barrels. Winery: Dominio de Pingus. D.O. Ribera del Duero. (Castilla y León) Variety: Tinto Fino
850,PSI 3 Liter 2018,Red wine Crianza. 18 months in French oak barrels. Winery: Dominio de Pingus. D.O. Ribera del Duero. (Castilla y León) Variety: Tinto Fino
851,Château Romassan Coeur de Grain 2018,"Rosé wine Respectful agriculture. Winery: Domaines Ott. AOC Bandol. (Provence) Variety: Garnacha Tinta, Cinsault and Mourvèdre."
852,La Maison Romane Hautes-Côtes de Nuits 2016,Red wine Barrel Biodinámico. Winery: La Maison Romane. AOC Hautes Côtes de Nuits. (Burgundy) Variety: Pinot Noir
853,Lucien Le Moine Morey-Saint-Denis 1er Cru Les Genavrières 2016,Red wine Barrel. 14 months in French oak barrels. Winery: Lucien Le Moine. AOC Morey-Saint-Denis. (Burgundy) Variety: Pinot Noir
854,Lagar de Aso Cosecha 2018,Red wine Barrel. Winery: Castillo de Fuenmayor. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo
855,Abel Mendoza Garnacha Blanca 2018,White wine Aged on its lees Respectful agriculture. 5 months on lees in stainless steel vats. Winery: Abel Mendoza. D.O.Ca. Rioja. (La Rioja) Variety: Garnacha Blanca
856,Albamar Fusco 2018,Red wine Aged on its lees. 6 months on lees in stainless steel vats. Winery: Albamar. D.O. Ribeira Sacra. (Galicia) Variety: Mencía
857,Trossos Vells 2015,"Red wine Crianza. 12 months in French oak barrels. Winery: Alfredo Arribas - Portal del Priorat. D.O. Montsant. (Catalonia) Variety: Syrah, Cariñena and Garnacha Tinta."
858,Homenaje Tinto 2018,Red wine Young. Winery: Marco Real. D.O. Navarra. (Navarra) Variety: Cabernet Sauvignon and Tempranillo.
859,Pujanza Norte 2015,Red wine Barrel. 18 months in French oak barrels. Winery: Pujanza. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo and Other red varieties.
860,Abel Mendoza Torrontés 2018,White wine Barrel Respectful agriculture. 5 months in French oak barrels. Winery: Abel Mendoza. D.O.Ca. Rioja. (La Rioja) Variety: Torrontés
861,Abel Mendoza Tempranillo Blanco 2018,White wine Barrel Respectful agriculture. 5 months on lees in the barrel. Winery: Abel Mendoza. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo Blanco
862,La Peluda 2017,Red wine Barrel Respectful agriculture. 10 months in an inox tank. Winery: Celler Comunica. D.O. Montsant. (Catalonia) Variety: Garnacha Peluda
863,Valtosca 2017,Red wine Barrel Respectful agriculture. 9 months in French oak barrels 500 L. Winery: Finca Casa Castillo. D.O. Jumilla. (Murcia) Variety: Syrah
864,Riu Blanc 2018,White wine Reserva Respectful agriculture. 14 months in French oak barrels 225 L. Winery: Trio Infernal. D.O.Q. Priorat. (Catalonia) Variety: Macabeo and Garnacha Blanca.
865,Bernat Oller 2017,Red wine Crianza Organic. 12 months in French oak barrels. Winery: Oller del Mas. D.O. Pla del Bages. (Catalonia) Variety: Merlot and Picapoll Negre.
866,Las Lamas Magnum 2018,Red wine Crianza. 14 months in French oak barrels. Winery: Descendientes de J. Palacios. D.O. Bierzo. (Castilla y León) Variety: Mencía
867,Almirez 2018,Red wine Crianza Respectful agriculture. 14 months in French oak barrels. Winery: Teso la Monja. D.O. Toro. (Castilla y León) Variety: Tinta de Toro
868,Albariza 2018,White wine Young. Winery: José Estévez. VT Cádiz. (Andalusia) Variety: Palomino
869,Domaine Berthet-Bondet Trio 2017,"Red wine Carbonic maceration Organic. 12 months in an inox tank. Winery: Berthet-Bondet. AOC Côtes du Jura. (Jura) Variety: Pinot Noir, Poulsard and Trousseau."
870,Pago de Valdoneje Viñas Viejas 2016,Red wine Barrel. 11 months in French oak barrels. Winery: Vinos Valtuille. D.O. Bierzo. (Castilla y León) Variety: Mencía
871,Artadi Viñas de Gaín 2017,Red wine Barrel Organic. 12 months in French oak barrels. Winery: Artadi. La Rioja. (La Rioja) Variety: Tempranillo
872,Cap de Barbaria 2015,"Red wine Crianza. 8 months in French and American oak barrels. Winery: Cap de Barbaria. VT Formentera. (Balearic Islands) Variety: Cabernet Sauvignon, Merlot, Monastrell and Fogoneu."
873,Muga Prado Enea Gran Reserva 2011,"Red wine Gran Reserva. 48 months in different kind of barrels. Winery: Muga. D.O.Ca. Rioja. (La Rioja) Variety: Garnacha Tinta, Tempranillo, Mazuela and Graciano."
874,Domaine Berthet-Bondet Tradition 2012,White wine Aged under 'velo flor' Organic. 24 months under a cape of 'flor'. Winery: Berthet-Bondet. AOC Côtes du Jura. (Jura) Variety: Chardonnay and Savagnin.
875,Viña Real Crianza Magnum 2016,"Red wine Crianza. 14 months in French and American oak barrels. Winery: Viña Real. D.O.Ca. Rioja. (La Rioja) Variety: Garnacha Tinta, Tempranillo, Mazuela and Graciano."
876,Tentenublo Blanco 2018,White wine Barrel fermented Respectful agriculture. 5 months in Hungarian oak barrels. Winery: Tentenublo. D.O.Ca. Rioja. (La Rioja) Variety: Malvasía and Viura.
877,Baigorri de Garage 2015,Red wine Barrel. 12 months in French oak barrels. Winery: Baigorri. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo
878,Botani Garnacha 2017,Red wine Barrel Respectful agriculture. Winery: Jorge Ordoñez. D.O. Málaga-Sierras de Málaga. (Andalusia) Variety: Garnacha Tinta
879,Domaine Berthet-Bondet Château-Chalon 2010,White wine Aged under 'velo flor' Respectful agriculture. 6 years in oak barrels. Winery: Berthet-Bondet. AOC Château-Chalon. (Jura) Variety: Savagnin
880,Domaine Berthet-Bondet Balanoz 2016,White wine Barrel Organic. 12 months in French oak barrels. Winery: Berthet-Bondet. AOC Côtes du Jura. (Jura) Variety: Chardonnay
881,Finca Dofí 2018,Red wine Crianza Respectful agriculture. 19 months in French oak barrels. Winery: Álvaro Palacios. D.O.Q. Priorat. (Catalonia) Variety: Garnacha Tinta
882,L'Ermita 2018,Red wine Crianza Respectful agriculture. Winery: Álvaro Palacios. D.O.Q. Priorat. (Catalonia) Variety: Garnacha Tinta and Cariñena.
883,L'Ermita Magnum 2018,Red wine Crianza Respectful agriculture. Winery: Álvaro Palacios. D.O.Q. Priorat. (Catalonia) Variety: Garnacha Tinta and Cariñena.
884,Bott-Geyl Riesling Les Éléments 2017,White wine Aged on its lees Organic. 5 months on lees in stainless steel vats. Winery: Bott-Geyl. AOC Alsace. (Alsace) Variety: Riesling
885,Château Angélus 2014,Red wine Barrel. 18 months in French oak barrels. Winery: Château Angélus. AOC Saint-Émilion Grand Cru. (Bordeaux) Variety: Merlot and Cabernet Franc.
886,Corullón 2018,Red wine Crianza. 14 months in French oak barrels. Winery: Descendientes de J. Palacios. D.O. Bierzo. (Castilla y León) Variety: Mencía
887,Corullón Magnum 2018,Red wine Crianza. 14 months in French oak barrels. Winery: Descendientes de J. Palacios. D.O. Bierzo. (Castilla y León) Variety: Mencía
888,Château Angélus 2009,Red wine Barrel. 18 months in French oak barrels. Winery: Château Angélus. AOC Saint-Émilion Grand Cru. (Bordeaux) Variety: Merlot and Cabernet Franc.
889,Château Cheval Blanc 2015,Red wine Barrel Respectful agriculture. 18 months in French oak barrels. Winery: Château Cheval Blanc. AOC Saint-Émilion Grand Cru. (Bordeaux) Variety: Cabernet Sauvignon and Merlot.
890,Château Cheval Blanc 2005,Red wine Barrel Respectful agriculture. 18 months in French oak barrels. Winery: Château Cheval Blanc. AOC Saint-Émilion Grand Cru. (Bordeaux) Variety: Cabernet Sauvignon and Merlot.
891,Las Lamas 2018,Red wine Crianza. 14 months in French oak barrels. Winery: Descendientes de J. Palacios. D.O. Bierzo. (Castilla y León) Variety: Mencía
892,Moncerbal 2018,Red wine Crianza. 14 months in French oak barrels. Winery: Descendientes de J. Palacios. D.O. Bierzo. (Castilla y León) Variety: Mencía
893,Château Cheval Blanc 2014,Red wine Barrel. 18 months in French oak barrels. Winery: Château Cheval Blanc. AOC Saint-Émilion Grand Cru. (Bordeaux) Variety: Cabernet Sauvignon and Merlot.
894,Château de Fosse-Sèche Eolithe Saumur Rouge 2015,Red wine Aged in cement eggs Biodinámico. 21 months in a concrete vats. Winery: Château de Fosse-Sèche. AOC Saumur-Champigny. (Loire) Variety: Cabernet Sauvignon and Cabernet Franc.
895,Château Pibarnon Rosé 2017,Rosé wine Respectful agriculture. Winery: Château Pibarnon. AOC Bandol. (Provence) Variety: Monastrell and Cinsault.
896,Seis de Luberri 2017,Red wine Barrel. 6 months in oak barrels. Winery: Luberri. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo
897,Valduero Crianza 2016,Red wine Crianza. 15 months in oak barrels. Winery: Valduero. D.O. Ribera del Duero. (Castilla y León) Variety: Tempranillo
898,Château Cambon Beaujolais 2018,Red wine Carbonic maceration Natural. 9 months in foudres. Winery: Château Cambon. AOC Beaujolais. (Beaujolais) Variety: Gamay
899,Domaine Andrée Anjou Rouge 2011,Red wine Barrel Organic Natural. Winery: Domaine Andrée. AOC Anjou. (Loire) Variety: Pinot Noir
900,Domaine Andrée L'Envolée 2016,Red wine Barrel Organic. Winery: Domaine Andrée. Vin de France. (Loire) Variety: Grolleau
901,François Carillon Bourgogne Chardonnay Le Vieux Clos 2015,White wine Barrel Respectful agriculture. 12 months in French oak barrels and 6 months in foudres. Winery: Domaine François Carillon. AOC Bourgogne. (Burgundy) Variety: Chardonnay
902,Tardieu-Laurent Côtes-du-Rhône Blanc Guy-Louis 2017,"White wine Barrel. Winery: Maison Tardieu-Laurent. AOC Côtes du Rhône. (Rhone) Variety: Viognier, Roussanne, Marsanne and Garnacha Blanca."
903,François Carillon Chassagne-Montrachet Premier Cru 2016,White wine Barrel Respectful agriculture. 12 months in French oak barrels and 6 months in foudres. Winery: Domaine François Carillon. AOC Chassagne-Montrachet 1er Cru. (Burgundy) Variety: Chardonnay
904,Tardieu-Laurent Rasteau Vignes Vieilles 2015,"Red wine Barrel. Winery: Maison Tardieu-Laurent. AOC Rasteau. (Rhone) Variety: Syrah, Mourvèdre and Garnacha Tinta."
905,Riffault Sancerre Skeveldra 2013,Orange wine Barrel Natural. Winery: Sebastien Riffault. AOC Sancerre. (Loire) Variety: Sauvignon Blanc
906,P'tit Blanc du Tue-Boeuf 2018,White wine Natural. Winery: Le Clos Du Tue-Boeuf. Vin de France. (Loire) Variety: Chardonnay and Sauvignon Blanc.
907,Le Petit Gimios Rouge de Causse 2016,"Red wine Natural. Winery: Le Petit Domaine de Gimios. Vin de France. (Languedoc-Roussillon) Variety: Monastrell, Other red varieties, Cinsault, Cariñena and Alicante."
908,Le Petit Gimios Rosé 2016,Rosé wine Natural. Winery: Le Petit Domaine de Gimios. Vin de France. (Languedoc-Roussillon) Variety: Moscatel and Rouge de Causse.
909,Le Petit Gimios Muscat sec 2016,White wine Natural. Winery: Le Petit Domaine de Gimios. Vin de France. (Languedoc-Roussillon) Variety: Muscat
910,Le Lion de la Fleur de Boüard 2015,Red wine Barrel. 12 months in French oak barrels 225 L. Winery: Château La Fleur de Boüard. AOC Lalande-de-Pomerol. (Bordeaux) Variety: Merlot and Cabernet Franc.
911,La Maison Romane Marsannay Longeroies 2014,Red wine Barrel Biodinámico. Winery: La Maison Romane. AOC Marsannay. (Burgundy) Variety: Pinot Noir
912,La Maison Romane Marsannay Longeroies 2015,Red wine Barrel Biodinámico. Winery: La Maison Romane. AOC Marsannay. (Burgundy) Variety: Pinot Noir
913,La Maison Romane Marsannay Longeroies 2016,Red wine Barrel Biodinámico. Winery: La Maison Romane. AOC Marsannay. (Burgundy) Variety: Pinot Noir
914,Cantos del Diablo 2018,Red wine Barrel Respectful agriculture. 14 months in different kind of barrels. Winery: Daniel Landi. D.O. Méntrida. (Castilla La Mancha) Variety: Garnacha Tinta
915,El Reventón 2018,Red wine Crianza. 14 months in foudres. Winery: Daniel Landi. VT Castilla-León. (Castilla y León) Variety: Garnacha Tinta
916,La Maison Romane Château de Berzé Mâcon 2016,Red wine Barrel Biodinámico. Winery: La Maison Romane. AOC Mâcon. (Burgundy) Variety: Gamay
917,Las Iruelas 2018,Red wine Barrel Respectful agriculture. 14 months in foudres. Winery: Daniel Landi. VT Castilla-León. (Castilla y León) Variety: Garnacha Tinta
918,Reina de los Deseos 2018,Red wine Crianza. 14 months in French oak barrels. Winery: Uvas Felices. D.O. Vinos de Madrid. (Madrid) Variety: Garnacha Tinta
919,Reina de los Deseos Magnum 2018,Red wine Crianza. 14 months in French oak barrels. Winery: Uvas Felices. D.O. Vinos de Madrid. (Madrid) Variety: Garnacha Tinta
920,Enate Cabernet-Cabernet 2012,Red wine Barrel Respectful agriculture. 18 months in French oak barrels. Winery: Enate. D.O. Somontano. (Aragón) Variety: Cabernet Sauvignon
921,Guitian Godello +50 Meses en Botella 2014,White wine Young. 50 months in bottle. Winery: A Tapada. D.O. Valdeorras. (Galicia) Variety: Godello
922,El Grifo Malvasía Coleccion Semidulce 2018,White wine Young. Winery: El Grifo. D.O. Lanzarote. (Canary Islands) Variety: Malvasía
923,Ganevat Chardonnay La Baraque 2016,White wine Barrel Organic Natural. Winery: Anne et Jean-François Ganevat. AOC Côtes du Jura. (Jura) Variety: Chardonnay
924,La Planta 2018,Red wine Barrel. 6 months in French and American oak barrels. Winery: Arzuaga Navarro. D.O. Ribera del Duero. (Castilla y León) Variety: Tinto Fino
925,Château d'Yquem 1998,Sweet wine Barrel. 5 months in French oak barrels. Winery: Château d'Yquem. AOC Sauternes Premier Cru Superieur. (Bordeaux) Variety: Sauvignon Blanc and Semillon.
926,Briego Tiempo Crianza 2015,Red wine Crianza. 14 months in French and American oak barrels. Winery: Briego. D.O. Ribera del Duero. (Castilla y León) Variety: Tempranillo
927,Domaine de Montbourgeau L'Etoile Cuvee Speciale 2012,White wine Barrel Respectful agriculture. 54 months in French oak barrels. Winery: Domaine de Montbourgeau. AOC L'Etoile. (Jura) Variety: Chardonnay
928,Suertes del Marqués El Chiribique 2017,Red wine Barrel Respectful agriculture. 11 months in French oak barrels 500 L. Winery: Suertes del Marqués. D.O. Valle de la Orotava. (Canary Islands) Variety: Listan negro
929,Las Cercas 2013,Red wine Barrel. 12 months in French oak barrels. Winery: Bodegas y Viñedos La Mejorada. VT Castilla-León. (Castilla y León) Variety: Syrah and Tempranillo.
930,Laurel 2017,"Red wine Barrel. 21 months in separate containers. Winery: Clos i Terrasses. D.O.Q. Priorat. (Catalonia) Variety: Cabernet Sauvignon, Garnacha Tinta and Syrah."
931,Borsao Bole 2016,Red wine Oak. 3 months in French oak barrels. Winery: Borsao. D.O. Campo de Borja. (Aragón) Variety: Syrah and Garnacha Tinta.
932,La Cruz Verde 2017,"Red wine Barrel. 14 months in 10,000 litre foudres. Winery: Bodega Soto y Manrique. D.O. Cebreros. (Castilla y León) Variety: Garnacha Tinta"
933,Las Violetas 2017,"Red wine Barrel. 14 months in 10,000 litre foudres. Winery: Bodega Soto y Manrique. D.O. Cebreros. (Castilla y León) Variety: Garnacha Tinta"
934,Bera Vittorio Barbera Le Verrane 2017,Red wine Aged in cement eggs Natural. Winery: Bera Vittorio E Figli. DOC Barbera. (Piamonte) Variety: Barbera
935,Bera Vittorio Monferrato Bricco Della Serra 2015,Red wine Aged in cement eggs Natural. Winery: Bera Vittorio E Figli. DOC Monferrato Dolcetto. (Piamonte) Variety: Dolce
936,Denavolo Dinavolo 2016,Orange wine Skin Contact Natural. 8 months on lees in stainless steel vats. Winery: Denavolo. Vino da Tavola. (Emilia-Romagna)
937,Gotes Blanques 2017,White wine Barrel. 5 months on lees in stainless steel vats. Winery: Alfredo Arribas - Portal del Priorat. D.O.Q. Priorat. (Catalonia) Variety: Garnacha Blanca
938,Rietsch Pinot Noir Stierkopf 2016,Red wine Young Natural. 6 months in an inox tank. Winery: Domaine Rietsch. AOC Alsace. (Alsace) Variety: Pinot Noir
939,Cyan Roble 2016,Red wine Oak. 6 months in French and American oak barrels. Winery: Cyan. D.O. Toro. (Castilla y León) Variety: Tinta de Toro
940,Mas d'en Compte Rosat 2016,Rosé wine Barrel fermented. 3 months in French oak barrels. Winery: Cal Pla. D.O.Q. Priorat. (Catalonia) Variety: Picapoll Negre and Garnacha Gris.
941,Missenyora 2018,White wine Barrel fermented. 4 months in French and American oak barrels. Winery: L'Olivera. D.O. Costers del Segre. (Catalonia) Variety: Macabeo
942,Blanc de Serè 2018,"White wine Young Organic. Winery: L'Olivera. D.O. Costers del Segre. (Catalonia) Variety: Chardonnay, Parellada and Macabeo."
943,Château Haut Brion 2011,"Red wine Barrel. 22 . Winery: Château Haut Brion. AOC Pessac-léognan. (Bordeaux) Variety: Cabernet Sauvignon, Cabernet Franc, Merlot and Petit Verdot."
944,Château Haut Brion 2012,"Red wine Barrel. 22 . Winery: Château Haut Brion. AOC Pessac-léognan. (Bordeaux) Variety: Cabernet Sauvignon, Cabernet Franc, Merlot and Petit Verdot."
945,Château Haut Brion 2013,"Red wine Barrel. 22 . Winery: Château Haut Brion. AOC Pessac-léognan. (Bordeaux) Variety: Cabernet Sauvignon, Cabernet Franc, Merlot and Petit Verdot."
946,Château Haut Brion 2014,"Red wine Barrel. 22 . Winery: Château Haut Brion. AOC Pessac-léognan. (Bordeaux) Variety: Cabernet Sauvignon, Cabernet Franc, Merlot and Petit Verdot."
947,Château Haut Brion 2015,"Red wine Barrel. 22 . Winery: Château Haut Brion. AOC Pessac-léognan. (Bordeaux) Variety: Cabernet Sauvignon, Cabernet Franc, Merlot and Petit Verdot."
948,Château Haut Brion Blanc 2012,White wine Barrel. 12 months in French oak barrels. Winery: Château Haut Brion. AOC Pessac-léognan. (Bordeaux) Variety: Sauvignon Blanc and Semillon.
949,Château Haut Brion Blanc 2013,White wine Barrel. 12 months in French oak barrels. Winery: Château Haut Brion. AOC Pessac-léognan. (Bordeaux) Variety: Sauvignon Blanc and Semillon.
950,Château Haut Brion Blanc 2014,White wine Barrel. 12 months in French oak barrels. Winery: Château Haut Brion. AOC Pessac-léognan. (Bordeaux) Variety: Sauvignon Blanc and Semillon.
951,Château Haut Brion Blanc 2015,White wine Barrel. 12 months in French oak barrels. Winery: Château Haut Brion. AOC Pessac-léognan. (Bordeaux) Variety: Sauvignon Blanc and Semillon.
952,Roagna Montemarzino 2014,White wine Barrel Biodinámico. 24 months in foudres. Winery: Roagna. Vino da Tavola. (Piamonte) Variety: Ti
953,Roagna Barbaresco Asili Vecchie Viti 2011,Red wine Barrel Biodinámico. 60 months in foudres. Winery: Roagna. DOCG Barbaresco. (Piamonte) Variety: Nebbiolo
954,Roagna Barolo Pira 2012,Red wine Barrel Biodinámico. 60 months in foudres. Winery: Roagna. DOCG Barolo. (Piamonte) Variety: Nebbiolo
955,Roagna Barolo Pira Vecchie Viti 2012,Red wine Barrel Biodinámico. 60 months in foudres. Winery: Roagna. DOCG Barolo. (Piamonte) Variety: Nebbiolo
956,Le Macchiole Paleo 2015,Red wine Barrel Respectful agriculture. 18 months in oak barrels. Winery: Le Macchiole. IGP Toscana. (Tuscany) Variety: Cabernet Franc
957,Marqués de Murrieta Gran Reserva 2012,"Red wine Gran Reserva. 24 months in American oak barrels. Winery: Marqués de Murrieta. D.O.Ca. Rioja. (La Rioja) Variety: Garnacha Tinta, Tempranillo, Mazuela and Graciano."
958,Viridiana 2018,Red wine Oak. 3 months in French oak barrels. Winery: Dominio de Atauta. D.O. Ribera del Duero. (Castilla y León) Variety: Tempranillo
959,El Rapolao 2017,"Red wine Barrel Respectful agriculture. 12 months in French oak barrels used. Winery: La Vizcaína de Vinos. D.O. Bierzo. (Castilla y León) Variety: Mencía, Estaladina and Souson."
960,Polar Albariño 2018,White wine Aged on its lees. Winery: Noelia de Paz. D.O. Rías Baixas. (Galicia) Variety: Albariño
961,Cal Pla Blanc 2017,"White wine Young. 5 months in French and American oak barrels. Winery: Cal Pla. D.O.Q. Priorat. (Catalonia) Variety: Macabeo, Moscatel and Garnacha Blanca."
962,Vionta 2018,White wine. Winery: Vionta. D.O. Rías Baixas. (Galicia) Variety: Albariño
963,Torres Salmos 2016,"Red wine Crianza. 15 months in French oak barrels. Winery: Torres. D.O.Q. Priorat. (Catalonia) Variety: Syrah, Cariñena and Garnacha Tinta."
964,Ocho Patas 2018,White wine Aged on its lees. 7 months on lees in stainless steel vats. Winery: Uvas de Cuvée. D.O. Rías Baixas. (Galicia) Variety: Albariño
965,Flow Tinto 2018,Red wine Young Natural. 6 months in an inox tank. Winery: Sota els Àngels. D.O. Empordà. (Catalonia) Variety: Merlot and Cariñena.
966,Jambon La Tranche Sudiste 2015,Red wine Natural. Winery: Philippe Jambon. Vin de France. (Burgundy) Variety: Syrah and Garnacha Tinta.
967,Château Pibarnon Blanc 2015,White wine Barrel Respectful agriculture. Winery: Château Pibarnon. AOC Bandol. (Provence) Variety: Clairette and Bourboulenc.
968,Lan a Mano 2016,"Red wine Barrel. 5 months in French oak barrels and 4 months in Russian oak barrels. Winery: LAN. D.O.Ca. Rioja. (La Rioja) Variety: Mazuela, Graciano and Tempranillo."
969,Miranda d'Espiells 2018,White wine Young. Winery: Juvé & Camps. D.O. Penedès. (Catalonia) Variety: Chardonnay
970,Tocat de l'Ala 2017,Red wine Oak. 4 months in French and American oak barrels. Winery: Coca i Fitó. D.O. Empordà. (Catalonia) Variety: Garnacha Tinta and Cariñena.
971,Riu 2016,"Red wine Crianza Respectful agriculture. 12 months in French oak barrels. Winery: Trio Infernal. D.O.Q. Priorat. (Catalonia) Variety: Syrah, Cariñena and Garnacha Tinta."
972,Valtravieso Rupture 2016,Red wine Barrel. 14 months in French oak barrels. Winery: Valtravieso Bodegas y Viñedos. VT Castilla-León. (Castilla La Mancha) Variety: Cabernet Sauvignon and Merlot.
973,Valtravieso VT Tinta Fina 2016,Red wine Barrel. 15 months in French oak barrels. Winery: Valtravieso Bodegas y Viñedos. D.O. Ribera del Duero. (Castilla y León) Variety: Tinto Fino
974,Valtravieso VT Vendimia Seleccionada 2016,"Red wine Barrel. 15 months in French oak barrels. Winery: Valtravieso Bodegas y Viñedos. D.O. Ribera del Duero. (Castilla y León) Variety: Cabernet Sauvignon, Tinto Fino and Merlot."
